0.38,-59.66,-73.32,129.06,0.127,0.16,-56.90,-72.87,168.36,0.254
0.28,-58.17,-84.33,53.40,0.127,0.15,-56.47,-72.55,146.87,0.254
0.26,-59.47,-76.58,109.97,0.127,0.16,-56.68,-72.81,167.79,0.254
0.47,-58.81,-73.36,114.57,0.127,0.16,-56.96,-72.90,169.00,0.254
0.29,-58.62,-71.34,109.98,0.127,0.15,-57.13,-74.06,115.30,0.254
0.33,-58.03,-71.62,99.92,0.127,0.17,-56.92,-73.46,193.87,0.254
0.30,-58.39,-72.63,95.19,0.127,0.17,-57.15,-74.09,129.56,0.254
0.51,-58.03,-73.21,90.71,0.127,0.18,-56.96,-73.44,169.61,0.254
0.22,-59.13,-71.64,107.91,0.127,0.17,-57.25,-74.16,129.67,0.254
0.32,-59.29,-72.58,106.25,0.127,0.16,-57.22,-73.78,117.72,0.254
0.26,-58.32,-84.54,53.42,0.127,0.16,-56.64,-72.91,118.00,0.254
0.25,-58.58,-83.89,69.00,0.127,0.14,-56.41,-72.80,106.55,0.254
0.49,-58.28,-73.41,105.55,0.127,0.16,-57.27,-76.03,149.75,0.254
0.42,-59.00,-73.62,87.04,0.127,0.15,-56.94,-73.65,129.08,0.254
0.38,-58.94,-74.36,118.83,0.127,0.14,-57.25,-75.19,110.65,0.254
0.27,-57.94,-71.11,109.91,0.127,0.16,-56.29,-73.00,106.82,0.254
0.34,-57.66,-72.55,95.35,0.127,0.16,-56.99,-73.48,131.64,0.254
0.27,-59.26,-84.94,61.30,0.127,0.20,-56.89,-74.05,131.08,0.254
0.29,-58.05,-72.11,82.96,0.127,0.22,-56.95,-75.81,125.19,0.254
0.22,-58.26,-73.73,105.86,0.127,0.24,-57.27,-75.89,113.22,0.254
0.24,-58.80,-73.83,128.36,0.127,0.19,-57.59,-75.97,136.31,0.254
0.49,-58.68,-74.00,87.08,0.127,0.23,-56.39,-74.82,146.62,0.254
0.47,-58.59,-74.01,93.90,0.127,0.22,-57.43,-76.89,136.94,0.254
0.42,-58.86,-72.09,131.83,0.127,0.20,-56.39,-75.54,144.06,0.254
0.47,-59.25,-73.41,128.56,0.127,0.19,-57.26,-74.18,158.29,0.254
0.42,-58.50,-72.33,131.42,0.127,0.18,-56.94,-73.50,114.25,0.254
0.18,-59.07,-73.37,117.10,0.127,0.20,-57.39,-73.50,117.85,0.254
0.22,-58.60,-71.86,108.55,0.127,0.19,-56.52,-74.41,127.61,0.254
0.40,-58.12,-73.53,84.19,0.127,0.18,-56.75,-74.25,167.04,0.254
0.22,-58.65,-73.68,81.12,0.127,0.18,-57.13,-77.55,100.80,0.254
0.22,-58.81,-71.85,92.92,0.127,0.20,-57.28,-77.86,93.27,0.254
0.23,-58.68,-74.89,74.27,0.127,0.18,-58.27,-77.57,105.00,0.254
0.18,-58.83,-72.21,110.86,0.127,0.21,-57.41,-77.59,105.45,0.254
0.38,-56.32,-71.84,99.92,0.127,0.20,-56.99,-74.21,101.02,0.254
0.36,-58.51,-73.24,111.25,0.127,0.18,-56.95,-73.97,112.85,0.254
0.34,-59.04,-73.63,114.35,0.127,0.17,-56.56,-73.24,127.69,0.254
0.26,-58.20,-72.58,131.97,0.127,0.16,-56.40,-73.85,142.72,0.254
0.24,-58.20,-71.62,133.92,0.127,0.17,-56.21,-73.57,127.47,0.254
